time,PH_Sensor,ORP_Sensor,TR_Sensor,CT_Sensor,TDS_Sensor,NH_SEnsor,DO_Sensor,COD_Sensor,BOD_Sensor,
2024-10-09 11:44:15.143	,30.148,1.024,0.000,27.670,-3397092840046592.000,,6.371,,
2024-10-09 12:14:15.143	,31.780,1.024,0.000,27.744,-3408127684771840.000,,6.388,,
2024-10-09 12:44:15.143	,28.789,1.024,0.000,27.856,-13606078436605952.000,,6.390,,
2024-10-09 13:14:15.143	,31.427,1.024,0.000,27.960,-54547334494683136.000,,6.417,,
2024-10-09 13:44:15.143	,31.357,1.024,0.000,28.063,-218399602397675520.000,,,,
2024-10-09 14:14:15.143	,30.511,,0.000,28.125,-872468386515255296.000,,6.450,,
2024-10-09 14:44:15.143	,31.377,1.024,0.000,28.237,-873041919268093952.000,,6.376,,
2024-10-09 15:14:15.143	,31.981,1.024,0.000,28.269,-3489872996305207296.000,,6.397,,
2024-10-09 15:44:15.143	,32.626,1.024,0.000,28.324,-3486516187305607168.000,,6.350,,
2024-10-09 16:14:15.143	,30.944,1.024,0.000,28.356,-3480905104591159296.000,,6.362,,
2024-10-09 16:44:15.143	,31.367,1.024,0.000,,-3489923024084271104.000,,6.434,,
2024-10-09 17:14:15.143	,29.141,1.024,0.000,28.380,-3493303197705961472.000,,6.395,,
2024-10-09 17:44:15.143	,30.773,,0.000,28.365,-3485412827387133952.000,,6.407,,
2024-10-09 18:14:15.143	,28.859,1.024,0.000,28.347,-3494409856159318016.000,,,,
2024-10-09 18:44:15.143	,25.808,,0.000,28.334,-3489898834828460032.000,,,,
2024-10-09 19:14:15.143	,26.905,1.024,0.000,28.320,-3484262738224480256.000,,6.498,,
2024-10-09 19:44:15.143	,28.104,,0.000,28.312,-3479753366161063936.000,,6.488,,
2024-10-09 20:14:15.143	,24.730,,0.000,28.303,-3477498267812495360.000,,6.510,,
2024-10-09 20:44:15.143	,27.349,1.024,0.000,28.285,-3494385666903506944.000,,6.547,,
2024-10-09 21:14:15.143	,25.254,1.024,0.000,28.311,-3479753366161063936.000,,6.576,,
2024-10-09 21:44:15.143	,23.219,,0.000,28.300,-3484261913590759424.000,,,,
2024-10-09 22:14:15.143	,24.166,,0.000,28.334,-3487646210381053952.000,,6.522,,
2024-10-09 22:44:15.143	,,,0.000,28.349,-3494409856159318016.000,,6.573,,
2024-10-09 23:14:15.143	,18.859,1.024,0.000,28.337,-3480905929224880128.000,,,,
2024-10-09 23:44:15.143	,19.201,1.024,0.000,28.367,-3484287752114012160.000,,6.571,,
2024-10-10 00:14:15.143	,21.215,1.024,0.000,28.361,-3482032653765443584.000,,,,
2024-10-10 00:44:15.143	,17.771,1.024,0.000,28.341,-3492154757810749440.000,,6.570,,
2024-10-10 07:57:42.128	,22.061,1.024,0.000,27.813,-13641179056832512.000,,,,
2024-10-10 08:27:42.128	,21.377,1.024,0.000,27.821,-13632399069937664.000,,6.571,,
2024-10-10 08:57:42.128	,20.601,,0.000,27.800,-13619246806335488.000,,,,
2024-10-10 09:27:42.128	,20.329,,0.000,27.876,-13592942279131136.000,,,,
2024-10-10 09:57:42.128	,21.316,,0.000,27.916,-54582080780107776.000,,,,
2024-10-10 10:27:42.128	,21.830,1.024,0.000,27.989,-54547566422917120.000,,6.532,,
2024-10-10 10:57:42.128	,20.128,1.024,0.000,28.063,-218399499318460416.000,,6.581,,
2024-10-10 11:27:42.128	,16.885,1.024,0.000,28.144,-217909769967501312.000,,,,
2024-10-10 11:57:42.128	,20.521,1.024,0.000,28.215,-871350183189807104.000,,6.594,,
2024-10-10 12:27:42.128	,20.984,,0.000,28.291,-3489875470206369792.000,,,,
2024-10-10 12:57:42.128	,22.988,,0.000,28.388,-3477544997056675840.000,,6.614,,
2024-10-10 13:27:42.128	,21.749,,0.000,28.447,-13955064251895775232.000,,6.611,,
2024-10-10 13:57:42.128	,22.424,1.024,0.000,28.513,-13968722385336008704.000,,6.585,,
2024-10-10 14:27:42.128	,21.669,1.024,0.000,28.536,-55819935950187790336.000,,6.562,,
2024-10-10 14:57:42.128	,20.007,1.024,0.000,28.503,-13941677697827602432.000,,6.594,,
2024-10-10 15:27:42.128	,21.961,1.024,0.000,,-55783880764889759744.000,,,,
2024-10-10 15:57:42.128	,20.178,1.024,0.000,28.507,-13950694792686993408.000,,6.483,,
2024-10-10 16:27:42.128	,19.906,,0.000,,-13973088546009907200.000,,,,
2024-10-10 16:57:42.128	,20.299,1.024,0.000,28.423,-13977531672497750016.000,,,,
2024-10-10 17:27:42.128	,24.478,,0.000,28.374,-3488796299543707648.000,,6.447,,
